Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	136	0	0	98	3	0	0	404	22373	26	0	6	1	0	0	406	23	11574	0	1	475
500	78	0	0	0	0	0	0	1412	7	0	0	278	9	77	0	1501	14	241	0	129	1536
750	114	50	0	0	1	0	0	2482	0	0	0	611	1	388	0	2473	32	465	0	324	2558
1000	89	1	0	0	5	0	0	3886	14	0	0	1118	0	591	0	3589	5	611	0	576	3796
1250	80	0	0	0	71	0	0	4945	0	0	0	1430	1	842	0	4610	46	838	0	765	4759
1500	34	1	0	0	1	0	0	5589	10	45	0	2365	2	1212	0	5762	22	1007	0	839	5823
1750	81	1	0	0	8	0	0	6816	48	0	0	4500	54	1358	0	6958	5	1239	0	1044	7129
2000	22	28	0	0	0	0	0	7608	0	0	0	4597	6	1691	0	7892	7	1652	0	1257	8098
2250	33	4	0	0	14	0	0	8809	0	0	0	5372	1	2043	9	8918	79	1828	0	1420	8907
2500	35	0	9	0	1	0	0	9932	0	0	0	6522	0	2413	0	10001	5	1904	0	1702	10168
2750	28	0	0	0	0	0	0	10909	0	9	0	7985	12	2624	0	11081	5	2223	0	1807	11421
3000	45	0	0	0	2	0	0	12308	5	0	0	8570	3	3075	0	12232	6	2305	0	2069	12800
3250	26	1	0	0	8	0	0	13319	256	0	0	9623	5	3671	0	13447	5	2518	0	2560	13430
3500	32	32	0	9	2	0	0	14424	0	0	0	11536	8	3748	0	14547	5	2896	0	2464	14686
3750	32	4	0	0	0	0	0	15681	55	0	0	15399	17	4186	0	16225	7	3034	0	2604	15631
4000	45	1	0	0	1	0	0	16084	7	0	0	15551	10	4478	0	18500	19	3780	0	2870	16613
4250	29	1	0	0	2	0	0	17098	0	0	0	17986	4	4963	0	20156	153	3468	0	3051	17760
4500	30	0	0	0	16	0	0	18035	0	0	0	19464	2	5509	0	21305	5	3849	0	3471	18872
4750	24	0	2	0	2	0	0	19557	60	0	0	20936	0	5813	0	22272	5	4048	0	3599	20344
5000	44	3	1	0	5	0	0	20854	1	8	0	21808	1	5977	0	24339	5	4206	0	3675	21445
5250	30	0	0	0	1	0	0	21811	3	0	0	22996	0	6258	0	25468	5	4648	0	3980	21948
5500	25	0	0	0	2	0	0	22981	1	0	0	24691	1	6645	0	25894	5	4718	0	4143	23036
5750	32	0	0	0	0	0	12	23748	1	0	0	25557	2	7220	0	27688	6	4869	0	4459	24575
6000	32	2	9	0	10	0	0	25503	2	0	0	26493	0	7451	0	29820	5	5222	0	4688	25392
6250	52	18	0	0	2	0	0	30109	0	0	0	29112	4	7700	0	30089	16	5543	0	4829	26392
6500	35	5	0	0	2	0	0	26969	397	0	0	29938	0	8089	0	30961	6	5760	0	5008	27538
6750	464	0	0	0	13	0	0	30114	0	0	0	36906	2	8543	0	32969	5	5826	0	5238	29076
7000	170	2	0	0	1	0	0	30219	1	0	0	32034	0	8884	0	34319	9	6083	0	5483	29571
7250	147	4	0	0	0	0	71	33160	0	19	0	34771	10	9436	0	35934	6	6194	0	5822	30887
7500	130	6	0	0	0	0	0	31338	0	0	0	34869	6	9187	0	54750	32	6823	0	5880	32178
7750	95	25	0	0	12	0	0	34439	23	0	0	37506	12	10200	0	40365	5	6933	0	6072	33492
8000	81	6	0	0	0	0	0	33956	1	0	0	37451	10	10187	0	41594	8	7022	0	6435	35524
8250	62	5	0	0	0	0	0	34492	0	30	0	39165	9	10641	0	42825	334	7556	0	6433	35460
8500	81	13	0	0	1	0	0	35826	0	0	0	42435	9	10414	0	44104	5	8032	0	7275	34253
8750	61	80	0	0	0	0	12	37399	0	0	0	41695	10	10929	0	48345	6	7692	0	6963	37082
9000	49	12	0	73	19	0	0	38528	1	0	0	45403	7	11166	0	46934	5	8321	0	7005	38343
